Tree	Tree_taxa	RefTree_taxa	Common_taxa	R-F	R-F_toYuleAvg	R-F_toUnifAvg
353	64	64	64	60.5000	0.9953	0.9937
354	64	64	64	60.5000	0.9953	0.9937
355	64	64	64	60.5000	0.9953	0.9937
356	64	64	64	59.5000	0.9789	0.9773
357	64	64	64	60.5000	0.9953	0.9937
358	64	64	64	60.5000	0.9953	0.9937
359	64	64	64	60.5000	0.9953	0.9937
360	64	64	64	60.5000	0.9953	0.9937
361	64	64	64	60.5000	0.9953	0.9937
362	64	64	64	60.5000	0.9953	0.9937
363	64	64	64	60.5000	0.9953	0.9937
364	64	64	64	60.5000	0.9953	0.9937
365	64	64	64	59.5000	0.9789	0.9773
366	64	64	64	60.5000	0.9953	0.9937
367	64	64	64	60.5000	0.9953	0.9937
368	64	64	64	59.5000	0.9789	0.9773
369	64	64	64	59.5000	0.9789	0.9773
370	64	64	64	60.5000	0.9953	0.9937
371	64	64	64	60.5000	0.9953	0.9937
372	64	64	64	60.5000	0.9953	0.9937
373	64	64	64	60.5000	0.9953	0.9937
374	64	64	64	59.5000	0.9789	0.9773
375	64	64	64	60.5000	0.9953	0.9937
376	64	64	64	60.5000	0.9953	0.9937
377	64	64	64	60.5000	0.9953	0.9937
378	64	64	64	60.5000	0.9953	0.9937
379	64	64	64	60.5000	0.9953	0.9937
380	64	64	64	60.5000	0.9953	0.9937
381	64	64	64	60.5000	0.9953	0.9937
382	64	64	64	60.5000	0.9953	0.9937
383	64	64	64	60.5000	0.9953	0.9937
384	64	64	64	60.5000	0.9953	0.9937
385	64	64	64	60.5000	0.9953	0.9937
386	64	64	64	60.5000	0.9953	0.9937
387	64	64	64	60.5000	0.9953	0.9937
388	64	64	64	60.5000	0.9953	0.9937
389	64	64	64	60.5000	0.9953	0.9937
390	64	64	64	60.5000	0.9953	0.9937
391	64	64	64	60.5000	0.9953	0.9937
392	64	64	64	59.5000	0.9789	0.9773
393	64	64	64	60.5000	0.9953	0.9937
394	64	64	64	60.5000	0.9953	0.9937
395	64	64	64	60.5000	0.9953	0.9937
396	64	64	64	60.5000	0.9953	0.9937
397	64	64	64	60.5000	0.9953	0.9937
398	64	64	64	60.5000	0.9953	0.9937
399	64	64	64	60.5000	0.9953	0.9937
400	64	64	64	59.5000	0.9789	0.9773
401	64	64	64	60.5000	0.9953	0.9937
402	64	64	64	60.5000	0.9953	0.9937
403	64	64	64	60.5000	0.9953	0.9937
404	64	64	64	60.5000	0.9953	0.9937
405	64	64	64	60.5000	0.9953	0.9937
406	64	64	64	60.5000	0.9953	0.9937
407	64	64	64	58.5000	0.9624	0.9609
408	64	64	64	60.5000	0.9953	0.9937
409	64	64	64	60.5000	0.9953	0.9937
410	64	64	64	60.5000	0.9953	0.9937
411	64	64	64	60.5000	0.9953	0.9937
412	64	64	64	59.5000	0.9789	0.9773
413	64	64	64	60.5000	0.9953	0.9937
414	64	64	64	60.5000	0.9953	0.9937
415	64	64	64	60.5000	0.9953	0.9937
416	64	64	64	60.5000	0.9953	0.9937
417	64	64	64	59.5000	0.9789	0.9773
418	64	64	64	60.5000	0.9953	0.9937
419	64	64	64	60.5000	0.9953	0.9937
420	64	64	64	60.5000	0.9953	0.9937
421	64	64	64	60.5000	0.9953	0.9937
422	64	64	64	60.5000	0.9953	0.9937
423	64	64	64	59.5000	0.9789	0.9773
424	64	64	64	60.5000	0.9953	0.9937
425	64	64	64	60.5000	0.9953	0.9937
426	64	64	64	60.5000	0.9953	0.9937
427	64	64	64	59.5000	0.9789	0.9773
428	64	64	64	60.5000	0.9953	0.9937
429	64	64	64	60.5000	0.9953	0.9937
430	64	64	64	59.5000	0.9789	0.9773
431	64	64	64	60.5000	0.9953	0.9937
432	64	64	64	59.5000	0.9789	0.9773
433	64	64	64	59.5000	0.9789	0.9773
434	64	64	64	60.5000	0.9953	0.9937
435	64	64	64	60.5000	0.9953	0.9937
436	64	64	64	59.5000	0.9789	0.9773
437	64	64	64	59.5000	0.9789	0.9773
438	64	64	64	60.5000	0.9953	0.9937
439	64	64	64	60.5000	0.9953	0.9937
440	64	64	64	60.5000	0.9953	0.9937
441	64	64	64	60.5000	0.9953	0.9937
442	64	64	64	60.5000	0.9953	0.9937
443	64	64	64	60.5000	0.9953	0.9937
444	64	64	64	60.5000	0.9953	0.9937
445	64	64	64	60.5000	0.9953	0.9937
446	64	64	64	60.5000	0.9953	0.9937
447	64	64	64	59.5000	0.9789	0.9773
448	64	64	64	60.5000	0.9953	0.9937
449	64	64	64	60.5000	0.9953	0.9937
450	64	64	64	60.5000	0.9953	0.9937
451	64	64	64	59.5000	0.9789	0.9773
452	64	64	64	59.5000	0.9789	0.9773
453	64	64	64	60.5000	0.9953	0.9937
454	64	64	64	60.5000	0.9953	0.9937
455	64	64	64	60.5000	0.9953	0.9937
456	64	64	64	59.5000	0.9789	0.9773
457	64	64	64	60.5000	0.9953	0.9937
458	64	64	64	60.5000	0.9953	0.9937
459	64	64	64	60.5000	0.9953	0.9937
460	64	64	64	60.5000	0.9953	0.9937
461	64	64	64	59.5000	0.9789	0.9773
462	64	64	64	60.5000	0.9953	0.9937
463	64	64	64	60.5000	0.9953	0.9937
464	64	64	64	58.5000	0.9624	0.9609
465	64	64	64	60.5000	0.9953	0.9937
466	64	64	64	60.5000	0.9953	0.9937
467	64	64	64	59.5000	0.9789	0.9773
468	64	64	64	60.5000	0.9953	0.9937
469	64	64	64	60.5000	0.9953	0.9937
470	64	64	64	60.5000	0.9953	0.9937
471	64	64	64	60.5000	0.9953	0.9937
472	64	64	64	60.5000	0.9953	0.9937
473	64	64	64	58.5000	0.9624	0.9609
474	64	64	64	60.5000	0.9953	0.9937
475	64	64	64	59.5000	0.9789	0.9773
476	64	64	64	60.5000	0.9953	0.9937
477	64	64	64	60.5000	0.9953	0.9937
478	64	64	64	60.5000	0.9953	0.9937
479	64	64	64	59.5000	0.9789	0.9773
480	64	64	64	59.5000	0.9789	0.9773
481	64	64	64	60.5000	0.9953	0.9937
482	64	64	64	60.5000	0.9953	0.9937
483	64	64	64	60.5000	0.9953	0.9937
484	64	64	64	60.5000	0.9953	0.9937
485	64	64	64	59.5000	0.9789	0.9773
486	64	64	64	60.5000	0.9953	0.9937
487	64	64	64	60.5000	0.9953	0.9937
488	64	64	64	60.5000	0.9953	0.9937
489	64	64	64	59.5000	0.9789	0.9773
490	64	64	64	58.5000	0.9624	0.9609
491	64	64	64	59.5000	0.9789	0.9773
492	64	64	64	60.5000	0.9953	0.9937
493	64	64	64	60.5000	0.9953	0.9937
494	64	64	64	60.5000	0.9953	0.9937
495	64	64	64	60.5000	0.9953	0.9937
496	64	64	64	59.5000	0.9789	0.9773
497	64	64	64	59.5000	0.9789	0.9773
498	64	64	64	60.5000	0.9953	0.9937
499	64	64	64	60.5000	0.9953	0.9937
500	64	64	64	60.5000	0.9953	0.9937
501	64	64	64	60.5000	0.9953	0.9937
502	64	64	64	59.5000	0.9789	0.9773
