Tree	Tree_taxa	RefTree_taxa	Common_taxa	MatchingCluster	MatchingCluster_toYuleAvg	MatchingCluster_toUnifAvg
187	64	64	64	547.0000	1.0996	0.7638
188	64	64	64	565.0000	1.1358	0.7889
189	64	64	64	528.0000	1.0614	0.7372
190	64	64	64	533.0000	1.0715	0.7442
191	64	64	64	538.0000	1.0816	0.7512
192	64	64	64	485.0000	0.9750	0.6772
193	64	64	64	532.0000	1.0695	0.7428
194	64	64	64	534.0000	1.0735	0.7456
195	64	64	64	509.0000	1.0233	0.7107
196	64	64	64	528.0000	1.0614	0.7372
197	64	64	64	539.0000	1.0836	0.7526
198	64	64	64	551.0000	1.1077	0.7693
199	64	64	64	572.0000	1.1499	0.7987
200	64	64	64	510.0000	1.0253	0.7121
201	64	64	64	528.0000	1.0614	0.7372
202	64	64	64	566.0000	1.1378	0.7903
203	64	64	64	551.0000	1.1077	0.7693
204	64	64	64	512.0000	1.0293	0.7149
205	64	64	64	527.0000	1.0594	0.7358
206	64	64	64	577.0000	1.1600	0.8057
207	64	64	64	566.0000	1.1378	0.7903
208	64	64	64	529.0000	1.0635	0.7386
209	64	64	64	549.0000	1.1037	0.7666
210	64	64	64	561.0000	1.1278	0.7833
211	64	64	64	525.0000	1.0554	0.7330
212	64	64	64	544.0000	1.0936	0.7596
213	64	64	64	573.0000	1.1519	0.8001
214	64	64	64	561.0000	1.1278	0.7833
215	64	64	64	563.0000	1.1318	0.7861
216	64	64	64	573.0000	1.1519	0.8001
217	64	64	64	540.0000	1.0856	0.7540
218	64	64	64	612.0000	1.2303	0.8545
219	64	64	64	569.0000	1.1439	0.7945
220	64	64	64	521.0000	1.0474	0.7275
221	64	64	64	513.0000	1.0313	0.7163
222	64	64	64	555.0000	1.1157	0.7749
223	64	64	64	541.0000	1.0876	0.7554
224	64	64	64	518.0000	1.0413	0.7233
225	64	64	64	503.0000	1.0112	0.7023
226	64	64	64	484.0000	0.9730	0.6758
227	64	64	64	561.0000	1.1278	0.7833
228	64	64	64	515.0000	1.0353	0.7191
229	64	64	64	576.0000	1.1579	0.8043
230	64	64	64	532.0000	1.0695	0.7428
231	64	64	64	533.0000	1.0715	0.7442
232	64	64	64	545.0000	1.0956	0.7610
233	64	64	64	507.0000	1.0192	0.7079
234	64	64	64	499.0000	1.0032	0.6967
235	64	64	64	521.0000	1.0474	0.7275
236	64	64	64	538.0000	1.0816	0.7512
237	64	64	64	507.0000	1.0192	0.7079
238	64	64	64	538.0000	1.0816	0.7512
239	64	64	64	537.0000	1.0795	0.7498
240	64	64	64	545.0000	1.0956	0.7610
241	64	64	64	531.0000	1.0675	0.7414
242	64	64	64	559.0000	1.1238	0.7805
243	64	64	64	534.0000	1.0735	0.7456
244	64	64	64	563.0000	1.1318	0.7861
245	64	64	64	535.0000	1.0755	0.7470
246	64	64	64	527.0000	1.0594	0.7358
247	64	64	64	537.0000	1.0795	0.7498
248	64	64	64	550.0000	1.1057	0.7680
249	64	64	64	560.0000	1.1258	0.7819
250	64	64	64	540.0000	1.0856	0.7540
251	64	64	64	542.0000	1.0896	0.7568
252	64	64	64	531.0000	1.0675	0.7414
253	64	64	64	564.0000	1.1338	0.7875
254	64	64	64	532.0000	1.0695	0.7428
255	64	64	64	560.0000	1.1258	0.7819
256	64	64	64	554.0000	1.1137	0.7735
257	64	64	64	528.0000	1.0614	0.7372
258	64	64	64	565.0000	1.1358	0.7889
259	64	64	64	506.0000	1.0172	0.7065
260	64	64	64	550.0000	1.1057	0.7680
261	64	64	64	546.0000	1.0976	0.7624
262	64	64	64	577.0000	1.1600	0.8057
263	64	64	64	565.0000	1.1358	0.7889
264	64	64	64	543.0000	1.0916	0.7582
265	64	64	64	522.0000	1.0494	0.7289
266	64	64	64	573.0000	1.1519	0.8001
267	64	64	64	519.0000	1.0434	0.7247
268	64	64	64	559.0000	1.1238	0.7805
269	64	64	64	545.0000	1.0956	0.7610
270	64	64	64	521.0000	1.0474	0.7275
271	64	64	64	496.0000	0.9971	0.6926
272	64	64	64	519.0000	1.0434	0.7247
273	64	64	64	576.0000	1.1579	0.8043
274	64	64	64	554.0000	1.1137	0.7735
275	64	64	64	516.0000	1.0373	0.7205
276	64	64	64	570.0000	1.1459	0.7959
277	64	64	64	571.0000	1.1479	0.7973
278	64	64	64	508.0000	1.0212	0.7093
279	64	64	64	517.0000	1.0393	0.7219
280	64	64	64	557.0000	1.1197	0.7777
281	64	64	64	548.0000	1.1017	0.7652
282	64	64	64	576.0000	1.1579	0.8043
283	64	64	64	527.0000	1.0594	0.7358
